Word,Cereproc,Flite,gTTS,Svox
Hello,1,2,1,1
George,1,2,1,1
Bush,1,1,1,1
Charles,1,2,1,1
Trump,1,1,1,1
Franklin,1,2,1,1
Richard,1,2,1,2
Jonathan,1,1,1,1
Facebook,1,1,1,1
Fragile,1,1,3,1
Amazing,1,1,1,1
Horse,1,1,1,1
Availability,1,2,2,1
Successfull,1,2,1,1
Demonstration,1,1,1,1
airplane,1,1,1,1
shopping,1,1,1,1
centre,1,2,1,1
economy,1,1,1,1
disambiguation,1,1,1,2
trustworthy,1,1,1,2
tripled,1,2,1,1
approved,1,1,1,1
stylistic,1,1,1,1
onkologist,1,1,1,1
railway,1,1,1,2
juniper,1,2,1,1
elephant,1,1,1,1
achievment,1,1,1,3
university,1,1,1,1
acknowledgement,1,1,2,1
address,1,2,1,1
addiction,1,2,1,1
advertisement,2,3,1,1
amalgamates,1,1,1,1
antidiscrimination,1,2,1,1
behaviorally,1,1,1,1
championships,1,1,1,1
characterizing,1,2,2,1
chronologically,1,1,1,2
climatologists,2,3,1,2
decisionmaking,1,2,1,1
defensiveness,1,1,1,1
deregulation,1,1,1,1
destinations,1,1,1,1
deterministic,2,2,1,1
elaboration,1,2,1,1
electrostatic,1,2,1,1
emancipating,2,2,1,1
entertainer,1,1,1,1
enumeration,1,2,1,2
exploitation,2,2,1,1
fingerprinting,1,1,1,1
fundamentalists,2,1,1,1
generationally,1,2,1,1
ghostbusters,1,2,1,2
graduations,1,3,1,1
grandmother,1,2,1,1
handkerchief,3,2,1,2
healthcare,1,2,1,2
honourably,1,1,1,1
hypersensitive,1,1,1,1
hyphenation,2,1,1,1
impressionable,1,1,1,1
inconsistencies,1,2,1,2
inflection,1,2,1,1
journalistically,1,2,1,2
kindergarten,1,2,1,2
knowledgeable,1,1,1,1
Velčovský,3,4,2,4
nejkoulinkatější,3,5,2,4
třesoucí,4,5,3,4
třímající,3,4,3,5
práškovací,3,5,3,3
žluťoučký,3,5,3,5
ďábelský,1,5,2,3
Trávníček,1,4,1,4
doubrava,2,2,2,2
mysliveček,1,4,3,4
mydlinka,1,1,2,1
Hdrlořez,2,5,5,4
Žabokrstký,3,5,4,4
sokolíček,2,4,3,4
nepotopitelný,3,4,1,2
třiadvacet,3,4,3,4
důmyslný,1,5,3,3
šlehající,3,4,3,4
selhávající,3,5,3,4
zmrzlina,1,5,5,1
tvarůžek,3,5,3,4
knedlovepřozelo,2,3,4,3
výběrový,4,3,4,3
středoškolák,3,5,4,5
pálenice,3,4,3,3
ubíjející,4,4,4,5
kontraproduktivní,2,5,2,1
královstvíčko,4,5,4,3
víčkovací,4,4,3,5
beztrestnějších,5,5,5,5
bezostyšnějšího,3,4,4,4
černohlávkovými,4,4,4,3
improvizátorova,2,4,3,3
jihoameričanovy,3,5,3,4
mikrobiologický,3,4,3,3
nejčlenitějšího,4,4,4,4
nejnevinnějšími,4,5,3,4
pětašedesátkrát,4,5,3,4
překvapivějšího,4,5,3,5
zdokonalenějším,4,5,3,3
